category,count,percentage
Online Financial Fraud,48205,59.46
Online and Social Media Related Crime,11813,14.57
Any Other Cyber Crime,10667,13.16
Cyber Attack/ Dependent Crimes,3608,4.45
Sexually Obscene material,1742,2.15
Hacking  Damage to computercomputer system etc,1679,2.07
Sexually Explicit Act,1466,1.81
Cryptocurrency Crime,466,0.57
Online Gambling  Betting,436,0.54
Child Pornography CPChild Sexual Abuse Material CSAM,352,0.43
RapeGang Rape RGRSexually Abusive Content,242,0.3
Online Cyber Trafficking,180,0.22
Cyber Terrorism,160,0.2
Ransomware,56,0.07
Report Unlawful Content,1,0.0
