sub_category,count,percentage
UPI Related Frauds,20689,25.52
Other,10667,13.16
DebitCredit Card FraudSim Swap Fraud,9276,11.44
Internet Banking Related Fraud,7596,9.37
Fraud CallVishing,5683,7.01
Cyber Bullying  Stalking  Sexting,3953,4.88
EWallet Related Fraud,3940,4.86
Unknown,3802,4.69
FakeImpersonating Profile,2244,2.77
Profile Hacking Identity Theft,2021,2.49
Cheating by Impersonation,1945,2.4
Unauthorised AccessData Breach,1093,1.35
Online Job Fraud,901,1.11
DematDepository Fraud,734,0.91
Tampering with computer source documents,567,0.7
